( n.c.) il campo deve contenere un valore e pertanto risulta non compilato dall'ente
(1) gli importi vanno riportati con due zero dopo la virgola.
affissioni e pubblicità
altri servizi generali
altri servizi produttivi
anagrafe, stato civile, elettorale, leva e servizio statistico
asili nido, servizi per l'infanzia e per i minori
assistenza scolastica, trasporto, refezione e altri servizi
assistenza, beneficenza pubblica e servizi diversi alla persona
biblioteche, musei e pinacoteche
casa circondariale e altri servizi
centrale del latte
distribuzione energia elettrica
distribuzione gas
edilizia residenziale pubblica e locale e piani di edilizia economico-popolare
farmacie
fiere, mercati e servizi connessi
funzioni di istruzione pubblica. di cui:
funzioni di polizia locale. di cui:
funzioni generali di amministrazione di gestione e di controllo. di cui:
funzioni nel campo della viabilità e dei trasporti
funzioni nel campo della viabilità e dei trasporti. di cui:
funzioni nel campo dello sviluppo economico
funzioni nel campo turistico
funzioni nel settore sociale. di cui:
funzioni nel settore sportivo e ricreativo. di cui:
funzioni relative a servizi produttivi
funzioni relative alla cultura ed ai beni culturali. di cui:
funzioni relative alla giustizia
funzioni riguardanti la gestione del territorio e dell'ambiente. di cui:
gestione dei beni demaniali e patrimoniali
gestione delle entrate tributarie e servizi fiscali
gestione economica, finanziaria, programmazione, provveditorato e controllo di gestione
illuminazione pubblica e servizi connessi
indennità per gli organi istituzionali degli enti
istruzione elementare
istruzione media
istruzione secondaria superiore
l'arrotondamento  è effettuato per difetto qualora la prima cifra decimale sia inferiore a cinque.
l'arrotondamento dell'ultima unità è effettuato per eccesso qualora la prima cifra decimale sia superiore o uguale a cinque;
manifestazioni diverse nel settore sportivo e ricreativo
manifestazioni turistiche
mattatoio e servizi connessi
organi istituzionali, partecipazione e decentramento
parchi e servizi per la tutela ambientale del verde
piscine comunali
polizia amministrativa
polizia commerciale
polizia municipale
scuola materna
segreteria generale, personale e organizzazione
servizi relativi al commercio
servizi relativi all'agricoltura
servizi relativi all'artigianato
servizi relativi all'industria
servizi turistici
servizio di prevenzione e riabilitazione
servizio di protezione civile
servizio idrico integrato
servizio necroscopico e cimiteriale
servizio smaltimento rifiuti
stadio comunale, palazzo dello sport ed altri impianti
strutture residenziali e di ricovero per anziani
teatri, attività culturali e servizi diversi nel settore culturale
teleriscaldamento
totali
trasporti pubblici locali e servizi connessi
uffici giudiziari
ufficio tecnico
urbanistica e gestione del territorio
viabilità, circolazione stradale e servizi connessi
