716,Trasferimenti da altri enti pubblici,"",712,1285,1286,2,4,consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-da-altri-enti-pubblici
715,Trasferimenti dalla Regione,"",712,1287,1288,2,4,consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-dalla-regione
714,Trasferimenti dallo Stato,"",712,1289,1290,2,4,consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-dallo-stato
717,Trasferimenti di capitali da privati,,712,1291,1296,2,4,consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati
718,Permessi di costruire  e sanzioni,,717,1292,1293,2,5,consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-permessi-di-costruire-e-sanzioni
719,Trasferimenti di capitali (altro ),,717,1294,1295,2,5,consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-trasferimenti-di-capitali-da-privati-trasferimenti-di-capitali-altro
813,Cassa,,677,1497,1594,2,2,consuntivo-entrate-cassa
824,Contributi e trasferimenti pubblici,,813,1518,1525,2,3,consuntivo-entrate-cassa-contributi-pubblici
827,Contributi e trasferimenti da altri enti pubblici,,824,1523,1524,2,4,consuntivo-entrate-cassa-contributi-pubblici-contributi-da-altri-enti-pubblici
826,Contributi e trasferimenti dalla Regione,,824,1521,1522,2,4,consuntivo-entrate-cassa-contributi-pubblici-contributi-dalla-regione
825,Contributi e trasferimenti dallo Stato,,824,1519,1520,2,4,consuntivo-entrate-cassa-contributi-pubblici-contributi-dallo-stato
828,Entrate extratributarie,,813,1526,1563,2,3,consuntivo-entrate-cassa-entrate-extratributarie
846,Altre entrate extratributarie,,828,1561,1562,2,4,consuntivo-entrate-cassa-entrate-extratributarie-altre-entrate-extratributarie
844,Interessi su anticipazioni o crediti,,828,1557,1558,2,4,consuntivo-entrate-cassa-entrate-extratributarie-interessi-su-anticipazioni-o-crediti
841,Proventi di beni dell'ente,,828,1551,1556,2,4,consuntivo-entrate-cassa-entrate-extratributarie-proventi-di-beni-dellente
843,Altri proventi,,841,1554,1555,2,5,consuntivo-entrate-cassa-entrate-extratributarie-proventi-di-beni-dellente-altri-proventi
842,Canone Occupazione Spazi e Aree Pubbliche,,841,1552,1553,2,5,consuntivo-entrate-cassa-entrate-extratributarie-proventi-di-beni-dellente-canone-occupazione-spazi-e-aree-pubbliche
829,Servizi pubblici,,828,1527,1550,2,4,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici
840,Altri servizi,,829,1548,1549,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-altri-servizi
830,Amministrazione,,829,1528,1529,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-amministrazione
834,Cultura,,829,1536,1537,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-cultura
831,Giustizia,,829,1530,1531,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-giustizia
833,Istruzione ,,829,1534,1535,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-istruzione
832,Polizia locale,,829,1532,1533,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-polizia-locale
839,Sociale,,829,1546,1547,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-sociale
835,Sport,,829,1538,1539,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-sport
838,Territorio e ambiente,,829,1544,1545,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-territorio-e-ambiente
836,Turismo,,829,1540,1541,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-turismo
837,Viabilità e trasporti,,829,1542,1543,2,5,consuntivo-entrate-cassa-entrate-extratributarie-servizi-pubblici-viabilita-e-trasporti
845,Utili delle aziende partecipate,,828,1559,1560,2,4,consuntivo-entrate-cassa-entrate-extratributarie-utili-delle-aziende-partecipate
857,Entrate per conto terzi,,813,1574,1575,2,3,consuntivo-entrate-cassa-entrate-per-conto-terzi
814,Imposte e tasse,,813,1498,1517,2,3,consuntivo-entrate-cassa-imposte-e-tasse
815,Imposte,,814,1501,1508,2,4,consuntivo-entrate-cassa-imposte-e-tasse-imposte
817,Addizionale IRPEF,,815,1504,1505,2,5,consuntivo-entrate-cassa-imposte-e-tasse-imposte-addizionale-irpef
816,Casa e fabbricati,,815,1502,1503,2,5,consuntivo-entrate-cassa-imposte-e-tasse-imposte-casa-e-fabbricati
818,Imposte (altro),,815,1506,1507,2,5,consuntivo-entrate-cassa-imposte-e-tasse-imposte-imposte-altro
819,Tasse,,814,1509,1516,2,4,consuntivo-entrate-cassa-imposte-e-tasse-tasse
