slug,denominazione,slug_parent
consuntivo-spese-pagamenti-in-conto-competenza-prestiti-quota-capitale-di-debiti-pluriennali,Quota capitale di debiti pluriennali,consuntivo-spese-pagamenti-in-conto-competenza-prestiti
consuntivo-spese-pagamenti-in-conto-competenza-prestiti-quota-capitale-per-estinzione-anticipata-di-prestiti,Quota capitale per estinzione anticipata di prestiti,consuntivo-spese-pagamenti-in-conto-competenza-prestiti
consuntivo-spese-pagamenti-in-conto-residui-prestiti-anticipazioni-di-cassa,Anticipazioni di cassa,consuntivo-spese-pagamenti-in-conto-residui-prestiti
consuntivo-spese-pagamenti-in-conto-residui-prestiti-finanziamenti-a-breve-termine,Finanziamenti a breve termine,consuntivo-spese-pagamenti-in-conto-residui-prestiti
consuntivo-spese-pagamenti-in-conto-residui-prestiti-quota-capitale-di-mutui-e-prestiti,Quota capitale di mutui e prestiti,consuntivo-spese-pagamenti-in-conto-residui-prestiti
consuntivo-spese-pagamenti-in-conto-residui-prestiti-prestiti-obbligazionari,Prestiti obbligazionari,consuntivo-spese-pagamenti-in-conto-residui-prestiti
consuntivo-spese-pagamenti-in-conto-residui-prestiti-quota-capitale-di-debiti-pluriennali,Quota capitale di debiti pluriennali,consuntivo-spese-pagamenti-in-conto-residui-prestiti
consuntivo-spese-pagamenti-in-conto-residui-prestiti-quota-capitale-per-estinzione-anticipata-di-prestiti,Quota capitale per estinzione anticipata di prestiti,consuntivo-spese-pagamenti-in-conto-residui-prestiti
consuntivo-spese-impegni-spese-per-investimenti-interventi-concessioni-di-crediti-e-anticipazioni,Concessioni di crediti e anticipazioni,consuntivo-spese-impegni-spese-per-investimenti-interventi
consuntivo-spese-pagamenti-in-conto-competenza-spese-per-investimenti-interventi-concessioni-di-crediti-e-anticipazioni,Concessioni di crediti e anticipazioni,consuntivo-spese-pagamenti-in-conto-competenza-spese-per-investimenti-interventi
consuntivo-spese-pagamenti-in-conto-residui-spese-per-investimenti-interventi-concessioni-di-crediti-e-anticipazioni,Concessioni di crediti e anticipazioni,consuntivo-spese-pagamenti-in-conto-residui-spese-per-investimenti-interventi
consuntivo-spese-cassa-spese-per-investimenti-interventi-concessioni-di-crediti-e-anticipazioni,Concessioni di crediti e anticipazioni,consuntivo-spese-cassa-spese-per-investimenti-interventi
consuntivo-riassuntivo,RIASSUNTIVO,consuntivo
consuntivo-riassuntivo-gestione-finanziaria,Gestione finanziaria,consuntivo-riassuntivo
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui,Gestione residui,consuntivo-riassuntivo-gestione-finanziaria
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza,Gestione competenza,consuntivo-riassuntivo-gestione-finanziaria
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale,Gestione totale,consuntivo-riassuntivo-gestione-finanziaria
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-fondo-di-cassa-al-1°-gennaio,Fondo di cassa al 1° gennaio,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-riscossioni,Riscossioni,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-pagamenti,Pagamenti,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-fondo-di-cassa-al-31-dicembre,Fondo di cassa al 31 dicembre,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-pagamenti-per-azioni-esecutive-non-regolarizzate-al-31.12,Pagamenti per azioni esecutive non regolarizzate al 31.12,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-differenza,Differenza,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-residui-attivi,Residui attivi,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-residui-passivi,Residui passivi,consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-residui-risultato-di-amministrazione,Risultato di amministrazione = (6+7-8),consuntivo-riassuntivo-gestione-finanziaria-gestione-residui
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-fondo-di-cassa-al-1°-gennaio,Fondo di cassa al 1° gennaio,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-riscossioni,Riscossioni,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-pagamenti,Pagamenti,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-fondo-di-cassa-al-31-dicembre,Fondo di cassa al 31 dicembre,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-pagamenti-per-azioni-esecutive-non-regolarizzate-al-31.12,Pagamenti per azioni esecutive non regolarizzate al 31.12,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-differenza,Differenza,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-residui-attivi,Residui attivi,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-residui-passivi,Residui passivi,consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza-risultato-di-amministrazione,Risultato di amministrazione = (6+7-8),consuntivo-riassuntivo-gestione-finanziaria-gestione-competenza
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-fondo-di-cassa-al-1°-gennaio,Fondo di cassa al 1° gennaio,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-riscossioni,Riscossioni,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-pagamenti,Pagamenti,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-fondo-di-cassa-al-31-dicembre,Fondo di cassa al 31 dicembre,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-pagamenti-per-azioni-esecutive-non-regolarizzate-al-31.12,Pagamenti per azioni esecutive non regolarizzate al 31.12,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-differenza,Differenza,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-residui-attivi,Residui attivi,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-residui-passivi,Residui passivi,consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-gestione-finanziaria-gestione-totale-risultato-di-amministrazione,Risultato di amministrazione = (6+7-8),consuntivo-riassuntivo-gestione-finanziaria-gestione-totale
consuntivo-riassuntivo-risultato-di-amministrazione,Risultato di amministrazione,consuntivo-riassuntivo
consuntivo-riassuntivo-risultato-di-amministrazione-vincolato,Vincolato,consuntivo-riassuntivo-risultato-di-amministrazione
consuntivo-riassuntivo-risultato-di-amministrazione-per-spese-in-conto-capitale,Per Spese in Conto Capitale,consuntivo-riassuntivo-risultato-di-amministrazione
consuntivo-riassuntivo-risultato-di-amministrazione-per-fondo-ammortamento,Per fondo ammortamento,consuntivo-riassuntivo-risultato-di-amministrazione
consuntivo-riassuntivo-risultato-di-amministrazione-non-vincolato,Non vincolato,consuntivo-riassuntivo-risultato-di-amministrazione
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente,Utilizzo avanzo di amministrazione esercizio precedente,consuntivo-riassuntivo
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-reinvestimento-quote-accantonate-per-ammortamento,Reinvestimento quote accantonate per ammortamento,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-finanziamento-debiti-fuori-bilancio,Finanziamento debiti fuori bilancio,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-salvaguardia-equilibri-di-bilancio,Salvaguardia equilibri di bilancio,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-spese-correnti-non-ripetitive,Spese correnti non ripetitive,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-spese-correnti-in-sede-di-assestamento,Spese correnti in sede di assestamento,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente-spese-di-investimento,Spese di investimento,consuntivo-riassuntivo-utilizzo-avanzo-di-amministrazione-esercizio-precedente
