"SPESE";"Spese per investimenti";"funzioni";"Cultura";"TOTALE"
"SPESE";"Spese per investimenti";"funzioni";"Sport";"Piscine comunali"
"SPESE";"Spese per investimenti";"funzioni";"Sport";"Stadio e altri impianti"
"SPESE";"Spese per investimenti";"funzioni";"Sport";"Manifestazioni sportive"
"SPESE";"Spese per investimenti";"funzioni";"Sport";"TOTALE"
"SPESE";"Spese per investimenti";"funzioni";"Turismo";""
"SPESE";"Spese per investimenti";"funzioni";"Sviluppo economico";""
"SPESE";"Spese per investimenti";"funzioni";"Servizi produttivi";""
"SPESE";"Spese per investimenti";"funzioni";"Polizia locale";""
"SPESE";"Spese per investimenti";"funzioni";"Giustizia";""
"SPESE";"Spese per investimenti";"interventi";"Acquisizione di beni immobili";""
"SPESE";"Spese per investimenti";"interventi";"Incarichi professionali esterni";""
"SPESE";"Spese per investimenti";"interventi";"Trasferimenti di capitale";""
"SPESE";"Spese per investimenti";"interventi";"Partecipazioni azionarie";""
"SPESE";"Spese per investimenti";"interventi";"Acquisizioni di beni mobili";""
"SPESE";"Spese per investimenti";"interventi";"Conferimenti di capitale";""
"SPESE";"Spese per investimenti";"interventi";"Altri investimenti per interventi";""
"SPESE";"Spese per investimenti";"TOTALE";"";""
"SPESE";"Prestiti";"TOTALE";"";""
"SPESE";"Spese per conto terzi";"";"";""
"SPESE";"TOTALE";"";"";""
"SPESE";"Prestiti";"anticipazioni di cassa";"";""
"SPESE";"Prestiti";"finanziamenti a breve termine";"";""
"SPESE";"Prestiti";"quota capitale di mutui e prestiti";"";""
"SPESE";"Prestiti";"prestiti obbligazionari";"";""
"SPESE";"Prestiti";"quota capitale di debiti pluriennali";"";""
"SPESE";"Prestiti";"quota capitale per estizione anticipata di prestiti";"";""
"SPESE";"Spese per investimenti";"interventi";"concessioni di crediti e anticipazioni";""
